"Survey-Response Set","Submitted","What is is your age?","What is your sex?","Choose field of your profession:","Highest Level of Education:","Are you a US Citizen?","What types of technology devices do you use? (Check all that apply):Laptop","What types of technology devices do you use? (Check all that apply):Tablet","What types of technology devices do you use? (Check all that apply):Desktop","What types of technology devices do you use? (Check all that apply):Non-smartphone","What types of technology devices do you use? (Check all that apply):Smartphone","What types of technology devices do you use? (Check all that apply):Other","How often do you use public computers? These are computer that are typically share, such as library, school, etc.","How often do you use a computer at home?","Do you have one commonly used password for multiple places or multiple distinct passwords for different places?","Do you use any of the following in your password? (Check all that apply):Commonly used passwords phrases, such as god, love, and password.","Do you use any of the following in your password? (Check all that apply):Alphabetic","Do you use any of the following in your password? (Check all that apply):Numeric","Do you use any of the following in your password? (Check all that apply):Special Symbols, such as * ^ %","Do you use any of the following in your password? (Check all that apply):Many characters (greater than 8 characters)","Do you use any of the following in your password? (Check all that apply):Few characters (less than 8 characters)","Do you use any of the following in your password? (Check all that apply):Real Words","Do you use any of the following in your password? (Check all that apply):Pet/Family Names","Do you use any of the following in your password? (Check all that apply):Mixture of uppercase and lowecase","Do you use any of the following in your password? (Check all that apply):Randomly generated words","How often do you change your passwords?","Have you ever shared your password with another person?","Do you think your password is strong?","Do you use passwords to log into your computers?","Do you use passwords to log into your mobile devices?","Does your home wireless network have a password?","Does your home wireless network have a firewall?","Do you use virus software?","Do you update your software regularly?","How secure do you think your devices are?","Do you post personal information of social media and professional sites?","How often do you use public wifi services?"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 03:55 PM","19 to 23","Male","Student","Undergraduate (computer related)","Yes","1","1","1","0","1","0","Monthly","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","0","1","0","Yearly","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Good","Yes, professional only","Never"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 03:55 PM","31 to 40","Male","Student","Undergraduate (computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","0","1","0","Monthly","No","Yes","Yes","No","Yes","Not Answered","Yes","No","Better","No","Never"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 04:13 PM","24 to 30","Male","Technology","Undergraduate (computer related)","Yes","1","0","1","0","1","1","Weekly","Daily","Multiple Distinct Used","0","1","1","1","1","1","1","0","1","1","Monthly","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Good","Yes, both","Daily"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 04:22 PM","24 to 30","Female","Healthcare","Some College (non-computer related)","Yes","1","1","0","1","0","0","Weekly","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Never","Yes","Not Sure","Yes","No","Yes","Not Sure","Yes","Yes","Fair","Yes, both","Never"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 04:34 PM","24 to 30","Male","Student","Undergraduate (non-computer related)","Yes","1","1","1","0","1","1","Weekly","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Yearly","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Fair","No","Daily"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 04:38 PM","24 to 30","Female","Other","Some College (non-computer related)","Yes","1","1","1","1","1","0","Daily","Daily","Multiple Distinct Used","0","1","1","0","1","0","1","0","1","0","Yearly","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Fair","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 04:42 PM","24 to 30","Female","Student","Graduate (non-computer related)","Yes","1","1","0","0","1","0","Daily","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","1","1","0","Yearly","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Fair","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 04:51 PM","24 to 30","Female","Healthcare","Undergraduate (non-computer related)","Yes","1","1","0","1","1","0","Weekly","Daily","Multiple Distinct Used","0","1","1","1","1","1","0","0","1","0","Yearly","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Better","No","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 05:17 PM","31 to 40","Female","Other","Some College (computer related)","Yes","1","0","0","0","1","0","Daily","Daily","One Commonly Used","1","0","0","0","0","0","0","0","0","0","Monthly","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Best","No","Never"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 05:54 PM","19 to 23","Female","Other","Undergraduate (non-computer related)","Yes","1","0","0","0","1","0","Yearly","Daily","One Commonly Used","0","1","1","1","1","0","1","0","1","0","Never","No","Yes","Yes","Yes","Yes","Not Sure","Yes","Yes","Good","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 06:04 PM","19 to 23","Male","Student","Some College (computer related)","Yes","1","1","1","0","1","1","Weekly","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Yearly","No","Yes","Yes","Yes","Yes","Yes","Not Answered","Yes","Good","No","Daily"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 06:26 PM","24 to 30","Male","Technology","Graduate (computer related)","Yes","1","0","0","0","1","0","Daily","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","0","1","0","Monthly","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Good","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 06:29 PM","19 to 23","Male","Other","Undergraduate (non-computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","0","1","0","1","0","1","1","0","0","Never","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Best","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 06:44 PM","24 to 30","Male","Technology","Graduate (computer related)","Yes","1","1","1","0","1","0","Yearly","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Yearly","No","Not Sure","Yes","Yes","Yes","Not Sure","Yes","Yes","Good","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 07:00 PM","19 to 23","Male","Technology","Some College (computer related)","Yes","1","1","1","1","0","0","Weekly","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Never","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Fair","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 07:14 PM","19 to 23","Male","Technology","Some College (computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","0","1","0","Never","No","Yes","Yes","No","Yes","Yes","No","Yes","Fair","Yes, both","Never"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 07:23 PM","41 to 60","Female","Healthcare","Graduate (non-computer related)","Yes","1","1","1","0","1","0","Never","Daily","Multiple Distinct Used","0","0","1","1","1","0","1","1","1","0","Monthly","No","Yes","Yes","Yes","Yes","Not Sure","Yes","Yes","Good","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 07:31 PM","31 to 40","Female","Healthcare","Some College (non-computer related)","Yes","1","0","1","0","1","0","Never","Daily","One Commonly Used","0","1","1","0","1","0","1","1","1","0","Weekly","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Fair","Yes, social media only","Never"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 08:26 PM","31 to 40","Female","Other","Graduate (non-computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","0","0","0","0","0","0","1","0","0","Never","No","No","Yes","No","Yes","Yes","Yes","No","Good","Yes, both","Never"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 10:23 PM","19 to 23","Male","Student","Undergraduate (non-computer related)","No","1","0","0","0","1","0","Monthly","Daily","One Commonly Used","0","1","1","1","1","1","0","0","1","1","Never","No","Yes","Yes","No","Yes","Not Sure","No","Yes","Good","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 11:28 PM","41 to 60","Male","Management","Graduate (non-computer related)","Yes","1","1","1","1","1","0","Never","Daily","One Commonly Used","1","1","1","1","0","1","0","0","1","0","Never","Yes","No","Yes","Yes","Yes","Yes","Yes","Yes","Fair","Yes, professional only","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/19/2013 11:34 PM","19 to 23","Male","Student","Some College (non-computer related)","Yes","1","0","0","0","1","0","Monthly","Daily","One Commonly Used","0","1","1","1","1","0","0","1","1","0","Never","Yes","Not Sure","Yes","No","Yes","No","No","No","Fair","Yes, social media only","Daily"
"Security Measurement & Evaluation Survey-RIT","09/20/2013 03:31 AM","24 to 30","Male","Technology","Undergraduate (computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Yearly","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Best","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/24/2013 10:44 AM","19 to 23","Male","Technology","Undergraduate (computer related)","Yes","0","0","1","1","0","1","Yearly","Daily","One Commonly Used","0","1","1","1","1","0","1","0","1","0","Yearly","Yes","Not Sure","Yes","Yes","Yes","Not Sure","Yes","Yes","Better","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/24/2013 10:45 AM","31 to 40","Male","Technology","Graduate (computer related)","Yes","1","0","1","0","1","0","Monthly","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","0","0","0","Monthly","Yes","Yes","Yes","No","Yes","Not Sure","Not Sure","Yes","Better","No","Daily"
"Security Measurement & Evaluation Survey-RIT","09/24/2013 10:47 AM","24 to 30","Female","Office/Clerical","Undergraduate (non-computer related)","Yes","1","0","1","0","1","0","Weekly","Daily","Multiple Distinct Used","0","1","1","0","1","0","0","1","1","0","Never","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Better","Yes, both","Daily"
"Security Measurement & Evaluation Survey-RIT","09/24/2013 11:02 AM","41 to 60","Male","Other","Graduate (non-computer related)","Yes","0","1","1","0","0","0","Monthly","Daily","Multiple Distinct Used","0","1","1","0","0","0","0","0","1","0","Yearly","Yes","Not Sure","Yes","No","Yes","Yes","Yes","Yes","Good","No","Montly"
"Security Measurement & Evaluation Survey-RIT","09/24/2013 11:42 AM","19 to 23","Male","Student","Undergraduate (computer related)","No","1","0","0","0","1","1","Weekly","Daily","Multiple Distinct Used","0","1","1","0","1","0","1","1","1","0","Daily","Yes","Yes","Yes","No","Not Answered","Not Sure","Yes","Yes","Fair","Yes, professional only","Daily"
"Security Measurement & Evaluation Survey-RIT","09/24/2013 11:53 AM","19 to 23","Male","Student","Some College (non-computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","1","Yearly","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Fair","Yes, both","Daily"
"Security Measurement & Evaluation Survey-RIT","09/24/2013 03:12 PM","19 to 23","Male","Student","Some College (computer related)","Yes","1","0","1","0","1","0","Weekly","Daily","Multiple Distinct Used","0","1","1","0","1","1","0","0","1","1","Never","Yes","Not Sure","Yes","No","Yes","Yes","No","No","Better","No","Yearly"
"Security Measurement & Evaluation Survey-RIT","09/24/2013 04:09 PM","19 to 23","Male","Student","Undergraduate (computer related)","Yes","0","0","1","0","1","1","Weekly","Daily","Multiple Distinct Used","0","1","1","0","1","0","1","0","1","0","Yearly","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Good","Yes, social media only","Never"
"Security Measurement & Evaluation Survey-RIT","09/24/2013 05:16 PM","24 to 30","Male","Technology","Some College (computer related)","Yes","1","0","1","0","0","0","Yearly","Daily","One Commonly Used","0","1","1","0","0","0","0","0","0","0","Never","Yes","Yes","Yes","No","Yes","Yes","No","Yes","Good","Yes, both","Daily"
"Security Measurement & Evaluation Survey-RIT","09/25/2013 07:13 AM","18 or less","Female","Healthcare","Some College (non-computer related)","Yes","1","1","0","0","1","0","Yearly","Weekly","Multiple Distinct Used","0","1","1","1","1","0","1","1","1","0","Never","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Good","Yes, social media only","Daily"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 08:27 AM","19 to 23","Male","Technology","Some College (computer related)","Yes","1","0","1","1","1","1","Weekly","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Monthly","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Good","Yes, social media only","Montly"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 11:19 AM","19 to 23","Female","Student","Undergraduate (computer related)","No","1","1","0","1","1","0","Monthly","Daily","Multiple Distinct Used","0","1","1","1","0","0","0","0","0","0","Monthly","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Better","Yes, professional only","Montly"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 11:22 AM","19 to 23","Male","Technology","Graduate (non-computer related)","No","1","1","1","1","1","0","Weekly","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","0","1","1","Weekly","No","Not Sure","Yes","Yes","Yes","Yes","Yes","Yes","Good","Yes, both","Daily"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 11:24 AM","24 to 30","Male","Technology","Graduate (computer related)","No","1","0","0","0","1","0","Monthly","Daily","One Commonly Used","0","0","0","0","1","0","0","0","1","0","Monthly","Yes","Yes","Yes","Yes","Yes","Not Sure","No","Yes","Better","No","Never"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 11:40 AM","19 to 23","Male","Technology","Graduate (computer related)","No","1","1","1","0","1","0","Daily","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","0","0","0","Monthly","No","Yes","Yes","Yes","Yes","Yes","No","No","Good","No","Montly"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 12:07 PM","19 to 23","Male","Student","Graduate (computer related)","No","1","0","0","1","0","0","Daily","Daily","Multiple Distinct Used","0","1","1","0","1","0","0","0","0","0","Yearly","Yes","Not Sure","Yes","No","Yes","Yes","No","No","Fair","Yes, professional only","Daily"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 12:10 PM","19 to 23","Male","Technology","Undergraduate (computer related)","No","1","1","1","0","1","0","Monthly","Daily","Multiple Distinct Used","0","0","0","1","1","0","0","0","1","1","Never","Yes","Yes","Yes","No","Yes","No","No","No","Good","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 12:34 PM","41 to 60","Male","Other","Graduate (computer related)","No","1","1","1","0","1","1","Daily","Daily","Multiple Distinct Used","0","0","0","1","1","0","0","0","1","1","Monthly","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Good","Yes, social media only","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 12:52 PM","19 to 23","Male","Student","Undergraduate (computer related)","No","1","0","0","0","0","0","Weekly","Weekly","One Commonly Used","0","0","0","0","1","0","0","0","0","0","Monthly","No","Yes","No","Yes","Yes","Yes","Yes","Yes","Good","No","Montly"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 01:02 PM","19 to 23","Male","Other","Graduate (computer related)","No","1","1","1","0","1","0","Daily","Daily","Multiple Distinct Used","0","1","1","1","1","1","0","0","0","1","Monthly","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Better","No","Never"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 01:10 PM","19 to 23","Male","Technology","Graduate (computer related)","No","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","1","0","0","Yearly","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Better","Yes, both","Never"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 01:55 PM","19 to 23","Male","Technology","Graduate (computer related)","No","1","0","0","0","1","0","Monthly","Daily","Multiple Distinct Used","0","0","1","0","1","0","0","0","1","0","Monthly","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Fair","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 02:50 PM","19 to 23","Male","Student","Graduate (computer related)","No","1","0","0","0","1","0","Weekly","Daily","Multiple Distinct Used","1","1","1","1","1","0","1","0","1","0","Yearly","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Better","Yes, social media only","Daily"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 03:08 PM","19 to 23","Male","Technology","Undergraduate (computer related)","No","1","0","1","0","1","0","Monthly","Daily","Multiple Distinct Used","0","1","0","1","1","0","0","0","1","1","Yearly","No","Not Sure","Yes","Yes","Yes","Yes","No","Yes","Good","Yes, both","Yearly"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 04:39 PM","24 to 30","Male","Technology","Graduate (computer related)","No","1","0","1","0","1","0","Weekly","Daily","One Commonly Used","0","1","1","1","1","0","0","1","1","0","Monthly","No","Yes","No","No","Yes","No","No","Yes","Good","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 04:58 PM","19 to 23","Male","Technology","Graduate (computer related)","No","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Yearly","No","Yes","Yes","Yes","Yes","No","No","Yes","Better","Yes, both","Never"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 08:27 PM","19 to 23","Female","Student","Graduate (computer related)","No","1","0","1","0","1","0","Monthly","Daily","One Commonly Used","0","1","1","1","1","0","0","0","1","1","Monthly","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Good","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","09/27/2013 09:17 PM","19 to 23","Male","Technology","Graduate (computer related)","No","1","0","1","0","1","1","Weekly","Daily","Multiple Distinct Used","0","1","1","1","0","0","0","0","0","0","Yearly","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Good","Yes, both","Daily"
"Security Measurement & Evaluation Survey-RIT","09/28/2013 12:12 AM","Not Answered","Not Answered","Not Answered","Not Answered","Not Answered","0","0","0","0","0","0","Not Answered","Not Answered","Not Answered","0","0","0","0","0","0","0","0","0","0","Not Answered","Not Answered","Not Answered","Not Answered","Not Answered","Not Answered","Not Answered","Not Answered","Not Answered","Not Answered","Not Answered","Daily"
