"Survey-Response Set","Submitted","What is is your age?","What is your sex?","Choose field of your profession:","Highest Level of Education:","Are you a US Citizen?","What types of technology devices do you use? (Check all that apply):Laptop","What types of technology devices do you use? (Check all that apply):Tablet","What types of technology devices do you use? (Check all that apply):Desktop","What types of technology devices do you use? (Check all that apply):Non-smartphone","What types of technology devices do you use? (Check all that apply):Smartphone","What types of technology devices do you use? (Check all that apply):Other","How often do you use public computers? These are computer that are typically share, such as library, school, etc.","How often do you use a computer at home?","Do you have one commonly used password for multiple places or multiple distinct passwords for different places?","Do you use any of the following in your password? (Check all that apply):Commonly used passwords phrases, such as god, love, and password.","Do you use any of the following in your password? (Check all that apply):Alphabetic","Do you use any of the following in your password? (Check all that apply):Numeric","Do you use any of the following in your password? (Check all that apply):Special Symbols, such as * ^ %","Do you use any of the following in your password? (Check all that apply):Many characters (greater than 8 characters)","Do you use any of the following in your password? (Check all that apply):Few characters (less than 8 characters)","Do you use any of the following in your password? (Check all that apply):Real Words","Do you use any of the following in your password? (Check all that apply):Pet/Family Names","Do you use any of the following in your password? (Check all that apply):Mixture of uppercase and lowecase","Do you use any of the following in your password? (Check all that apply):Randomly generated words","How often do you change your passwords?","Have you ever shared your password with another person?","Do you think your password is strong?","Do you use passwords to log into your computers?","Do you use passwords to log into your mobile devices?","Does your home wireless network have a password?","Does your home wireless network have a firewall?","Do you use virus software?","Do you update your software regularly?","How secure do you think your devices are?","Do you post personal information of social media and professional sites?","How often do you use public wifi services?"
"Security Measurement & Evaluation Survey-RIT","09/28/2013 05:38 AM","19 to 23","Female","Technology","Undergraduate (non-computer related)","No","1","0","1","1","0","0","Monthly","Daily","Multiple Distinct Used","0","1","1","1","0","0","0","0","0","0","Yearly","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Good","No","Never"
"Security Measurement & Evaluation Survey-RIT","09/28/2013 06:31 AM","19 to 23","Male","Student","Undergraduate (computer related)","No","1","1","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","0","0","0","0","1","0","Monthly","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Better","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","09/28/2013 07:56 AM","19 to 23","Male","Student","Graduate (non-computer related)","No","1","1","1","0","0","0","Monthly","Daily","One Commonly Used","0","0","1","0","0","0","0","0","1","0","Never","Yes","Not Sure","No","No","Yes","No","Yes","Not Answered","Better","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","09/28/2013 09:17 AM","24 to 30","Female","Student","Graduate (computer related)","No","1","0","1","0","1","0","Daily","Daily","Multiple Distinct Used","0","1","1","1","1","1","0","1","1","0","Yearly","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Better","No","Daily"
"Security Measurement & Evaluation Survey-RIT","09/28/2013 05:32 PM","24 to 30","Male","Technology","Undergraduate (non-computer related)","No","1","0","1","0","1","0","Monthly","Never","Multiple Distinct Used","1","1","1","1","1","1","1","1","1","1","Yearly","No","Not Sure","Yes","No","Yes","Yes","Yes","Yes","Poor","Yes, professional only","Montly"
"Security Measurement & Evaluation Survey-RIT","09/29/2013 05:17 AM","24 to 30","Male","Technology","Graduate (computer related)","No","1","1","1","1","1","0","Yearly","Daily","Multiple Distinct Used","1","1","1","0","1","0","0","0","1","0","Never","No","Not Sure","Yes","Yes","Yes","Yes","Yes","Yes","Good","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/30/2013 08:27 AM","41 to 60","Female","Management","Undergraduate (non-computer related)","No","1","1","1","1","1","0","Never","Daily","One Commonly Used","0","1","1","0","0","0","1","0","1","0","Never","Yes","Not Sure","Not Answered","Yes","Yes","Not Sure","Yes","Yes","Good","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","09/30/2013 08:49 AM","24 to 30","Female","Student","Graduate (computer related)","No","1","1","1","0","1","1","Monthly","Daily","Multiple Distinct Used","0","0","0","0","0","0","0","0","0","1","Daily","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Best","Yes, social media only","Daily"
"Security Measurement & Evaluation Survey-RIT","09/30/2013 12:38 PM","41 to 60","Female","Management","Graduate (computer related)","No","0","1","0","0","1","0","Never","Daily","One Commonly Used","0","1","0","0","0","0","0","0","0","0","Never","Yes","No","Yes","No","Yes","Not Sure","Yes","Yes","Poor","Yes, social media only","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 02:06 PM","19 to 23","Male","Student","Undergraduate (non-computer related)","No","1","0","0","0","1","0","Weekly","Daily","One Commonly Used","1","1","1","1","1","0","1","1","1","0","Monthly","Yes","Not Sure","Yes","Yes","Yes","Yes","Yes","Yes","Good","Yes, social media only","Daily"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 02:13 PM","19 to 23","Male","Healthcare","Undergraduate (non-computer related)","Yes","1","0","1","1","0","0","Weekly","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Never","No","Not Sure","Yes","No","Yes","Yes","Yes","Yes","Better","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 02:56 PM","61 and above","Male","Unemployed","Some College (computer related)","Yes","1","1","0","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","0","1","0","1","1","0","Never","Yes","Not Sure","Yes","Yes","Yes","Yes","No","Yes","Good","No","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 03:03 PM","19 to 23","Male","Student","Some College (non-computer related)","Yes","1","0","0","1","0","0","Weekly","Daily","Multiple Distinct Used","0","0","0","1","1","0","0","0","1","0","Yearly","Yes","Not Sure","Yes","No","Yes","Yes","Yes","Yes","Fair","Yes, both","Daily"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 03:12 PM","19 to 23","Male","Technology","Undergraduate (non-computer related)","Yes","1","1","0","0","1","0","Monthly","Daily","Multiple Distinct Used","0","1","1","0","1","0","0","0","1","0","Yearly","No","Yes","Yes","No","No","Yes","No","No","Fair","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 03:37 PM","19 to 23","Female","Student","Some College (computer related)","Yes","1","0","0","1","0","1","Never","Daily","One Commonly Used","0","1","1","1","1","0","1","1","1","0","Never","No","No","Yes","No","Yes","Not Sure","Yes","Yes","Good","Yes, both","Daily"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 03:48 PM","19 to 23","Female","Technology","Some College (computer related)","Yes","1","0","1","0","1","1","Yearly","Daily","One Commonly Used","0","1","1","0","0","0","0","1","0","0","Never","Yes","No","Yes","No","Yes","No","Yes","Yes","Fair","No","Daily"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 04:08 PM","41 to 60","Female","Management","Undergraduate (non-computer related)","Yes","1","1","1","0","1","0","Never","Daily","One Commonly Used","0","1","1","0","1","0","0","1","1","0","Yearly","No","Yes","No","No","Yes","Not Sure","No","Not Sure","Good","Yes, social media only","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 04:18 PM","41 to 60","Female","Office/Clerical","Undergraduate (non-computer related)","Yes","1","1","1","0","1","0","Never","Daily","One Commonly Used","0","0","1","0","0","0","0","1","1","0","Monthly","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Better","No","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 04:18 PM","41 to 60","Female","Technology","Undergraduate (computer related)","Yes","1","1","0","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","0","1","0","0","0","1","1","Monthly","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Good","No","Yearly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 04:19 PM","41 to 60","Female","Other","Undergraduate (non-computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","0","1","0","0","0","1","0","Yearly","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Better","Yes, social media only","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 04:19 PM","41 to 60","Female","Other","Undergraduate (non-computer related)","Yes","1","0","0","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","0","1","0","1","0","1","0","Yearly","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Good","Yes, social media only","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 04:53 PM","41 to 60","Female","Technology","Undergraduate (computer related)","Yes","0","1","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","0","1","1","Never","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","Better","No","Yearly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 05:02 PM","19 to 23","Male","Technology","Undergraduate (non-computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","1","1","0","Never","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Better","No","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 05:06 PM","19 to 23","Female","Other","Some College (non-computer related)","Yes","1","0","0","0","1","0","Yearly","Daily","One Commonly Used","0","1","1","1","1","0","0","0","1","0","Yearly","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Good","Yes, social media only","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 05:27 PM","24 to 30","Female","Other","Graduate (non-computer related)","Yes","1","1","1","0","1","0","Yearly","Monthly","One Commonly Used","1","0","0","1","1","0","1","0","1","0","Monthly","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Good","Yes, both","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 05:34 PM","41 to 60","Female","Other","Undergraduate (non-computer related)","Yes","1","1","1","1","0","0","Never","Daily","One Commonly Used","0","0","0","0","0","1","1","0","0","0","Never","No","Not Sure","No","No","Yes","Yes","Yes","Yes","Good","No","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 05:48 PM","31 to 40","Female","Other","Graduate (non-computer related)","Yes","0","1","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","0","0","1","0","0","1","0","Never","No","Yes","Yes","No","Yes","Yes","Yes","Yes","Better","Yes, social media only","Daily"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 05:48 PM","41 to 60","Female","Other","Graduate (non-computer related)","Yes","1","1","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","0","1","0","0","0","1","0","Never","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Best","No","Weekly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 06:01 PM","24 to 30","Female","Other","High School","Yes","1","1","1","0","1","0","Monthly","Daily","One Commonly Used","0","0","0","0","1","0","1","1","0","0","Yearly","Yes","Not Sure","No","Yes","Yes","Not Sure","Yes","No","Good","No","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 06:41 PM","41 to 60","Female","Management","Some College (non-computer related)","Yes","1","1","1","0","1","0","Never","Daily","Multiple Distinct Used","0","0","0","1","1","0","0","0","1","0","Yearly","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Better","Yes, social media only","Yearly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 06:41 PM","41 to 60","Female","Healthcare","Graduate (non-computer related)","Yes","1","1","0","0","1","0","Daily","Daily","Multiple Distinct Used","0","0","0","0","0","0","0","0","1","0","Never","No","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Good","No","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 06:53 PM","41 to 60","Female","Other","Some College (non-computer related)","Yes","0","0","1","0","1","0","Never","Never","Multiple Distinct Used","0","0","0","1","1","0","1","0","1","1","Yearly","No","Yes","No","No","Yes","Not Sure","Yes","Yes","Fair","Yes, both","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 07:10 PM","41 to 60","Female","Office/Clerical","Graduate (non-computer related)","Yes","1","1","1","0","1","0","Daily","Daily","Multiple Distinct Used","0","0","0","0","0","1","0","1","0","0","Yearly","No","No","Yes","Yes","Yes","Not Sure","Yes","Not Sure","Fair","No","Yearly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 07:55 PM","61 and above","Female","Management","Some College (non-computer related)","Yes","0","0","1","0","0","0","Never","Daily","One Commonly Used","0","1","1","0","0","0","0","0","0","0","Never","No","Yes","No","No","No","Yes","Yes","Yes","Good","No","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 08:27 PM","31 to 40","Female","Other","Graduate (non-computer related)","Yes","1","1","0","0","0","0","Never","Daily","Multiple Distinct Used","0","1","1","0","1","0","0","1","1","0","Monthly","Yes","Yes","No","No","Yes","Not Sure","No","Yes","Good","Yes, social media only","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 08:46 PM","41 to 60","Female","Office/Clerical","Undergraduate (non-computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","0","1","1","0","1","1","Never","No","Yes","Yes","No","Yes","Not Sure","Yes","Yes","Good","Yes, social media only","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 08:58 PM","19 to 23","Male","Technology","Some College (computer related)","No","1","0","0","0","1","0","Daily","Daily","One Commonly Used","0","1","1","0","1","0","0","0","1","0","Never","Yes","Yes","No","No","Yes","Yes","No","Yes","Good","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 09:12 PM","41 to 60","Female","Other","Graduate (non-computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","1","1","1","0","1","0","1","1","1","1","Never","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Better","Yes, both","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 10:03 PM","41 to 60","Male","Healthcare","Graduate (non-computer related)","Yes","1","1","1","0","1","0","Never","Daily","One Commonly Used","0","0","1","0","0","0","0","0","0","0","Never","No","Yes","No","Yes","Yes","Yes","No","Yes","Better","No","Weekly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 10:08 PM","41 to 60","Female","Healthcare","Graduate (non-computer related)","Yes","0","1","1","1","0","0","Never","Daily","One Commonly Used","0","1","1","0","1","0","1","0","0","0","Never","Yes","Not Sure","No","Yes","No","Yes","Yes","No","Fair","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 10:33 PM","41 to 60","Female","Healthcare","Undergraduate (computer related)","Yes","1","1","1","0","1","0","Never","Daily","Multiple Distinct Used","0","0","0","0","0","0","0","1","1","0","Never","No","Not Sure","No","Yes","Yes","Yes","Yes","Yes","Better","No","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 10:40 PM","41 to 60","Female","Other","Some College (non-computer related)","Yes","0","0","1","0","1","0","Never","Daily","One Commonly Used","0","0","0","0","1","0","0","0","0","0","Never","No","Yes","No","No","Yes","Yes","Yes","Yes","Better","Yes, social media only","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 10:41 PM","31 to 40","Female","Other","Undergraduate (non-computer related)","Yes","1","0","1","1","0","0","Yearly","Daily","Multiple Distinct Used","0","1","1","0","1","0","0","1","1","1","Yearly","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Better","No","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 10:43 PM","31 to 40","Female","Other","Some College (non-computer related)","Yes","1","0","0","1","0","0","Never","Daily","One Commonly Used","0","1","1","0","0","0","1","0","0","0","Never","Yes","Yes","No","No","Yes","Not Sure","Yes","Yes","Good","No","Never"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 10:44 PM","19 to 23","Female","Student","Some College (non-computer related)","Yes","1","0","0","0","1","0","Daily","Daily","One Commonly Used","0","0","0","0","1","0","0","1","1","0","Never","No","Not Sure","Yes","Yes","Not Sure","Not Sure","Yes","Not Sure","Good","No","Daily"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 10:46 PM","19 to 23","Female","Student","Some College (non-computer related)","Yes","1","0","0","0","1","0","Weekly","Daily","Multiple Distinct Used","0","1","1","1","0","0","0","0","1","0","Yearly","Yes","Yes","Yes","Yes","Yes","Not Sure","Not Sure","No","Fair","Yes, professional only","Daily"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 11:05 PM","24 to 30","Male","Other","Undergraduate (non-computer related)","Yes","1","1","1","0","1","0","Never","Daily","One Commonly Used","0","1","1","1","1","1","0","0","1","1","Monthly","Yes","Yes","Yes","Yes","Yes","No","No","No","Fair","No","Montly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 11:46 PM","19 to 23","Male","Other","Undergraduate (non-computer related)","Yes","1","0","0","0","1","0","Daily","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Never","Yes","Yes","No","Yes","Yes","No","No","Yes","Better","No","Weekly"
"Security Measurement & Evaluation Survey-RIT","10/03/2013 11:48 PM","31 to 40","Female","Management","Undergraduate (non-computer related)","Yes","1","1","0","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","0","1","0","1","0","1","0","Yearly","No","Yes","Yes","Not Answered","Yes","No","Yes","Yes","Good","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","10/04/2013 12:08 AM","41 to 60","Male","Other","Some College (non-computer related)","Yes","1","0","1","0","1","0","Never","Daily","Multiple Distinct Used","0","0","0","0","1","0","0","0","1","0","Yearly","No","Yes","Yes","Yes","Yes","Yes","Yes","No","Fair","Yes, both","Montly"
"Security Measurement & Evaluation Survey-RIT","10/04/2013 12:16 AM","19 to 23","Female","Other","Undergraduate (non-computer related)","Yes","1","1","0","0","1","0","Never","Daily","Multiple Distinct Used","0","1","1","1","0","0","0","0","1","0","Yearly","Yes","Yes","Not Answered","No","Yes","Not Sure","Yes","Yes","Good","No","Daily"
"Security Measurement & Evaluation Survey-RIT","10/04/2013 12:33 AM","18 or less","Female","Student","Some College (non-computer related)","Yes","1","1","1","0","1","0","Never","Weekly","One Commonly Used","0","1","1","0","1","0","1","1","1","0","Never","Yes","Yes","Yes","No","Yes","Not Sure","Yes","No","Fair","No","Daily"
"Security Measurement & Evaluation Survey-RIT","10/04/2013 08:24 AM","24 to 30","Female","Unemployed","Undergraduate (non-computer related)","Yes","1","0","0","0","1","0","Never","Daily","One Commonly Used","0","0","0","0","0","0","1","0","1","0","Yearly","Yes","No","Yes","Yes","Yes","Not Sure","Yes","No","Fair","Yes, social media only","Weekly"
"Security Measurement & Evaluation Survey-RIT","10/04/2013 09:47 AM","31 to 40","Female","Office/Clerical","Some College (non-computer related)","Yes","1","1","1","0","1","0","Yearly","Daily","Multiple Distinct Used","0","0","1","0","1","1","1","0","1","1","Monthly","Yes","Yes","No","No","Yes","Yes","Yes","Yes","Fair","Yes, social media only","Daily"
"Security Measurement & Evaluation Survey-RIT","10/04/2013 09:52 AM","61 and above","Male","Other","Undergraduate (computer related)","Yes","1","0","1","1","1","1","Never","Daily","Multiple Distinct Used","0","1","1","1","1","0","1","0","1","0","Yearly","Yes","Yes","Yes","Yes","Yes","Yes","Not Answered","Yes","Fair","Yes, social media only","Yearly"
"Security Measurement & Evaluation Survey-RIT","10/04/2013 10:03 AM","31 to 40","Female","Other","Graduate (non-computer related)","Yes","1","0","0","0","1","0","Never","Daily","Multiple Distinct Used","0","0","0","0","1","0","1","0","1","0","Yearly","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Good","Yes, social media only","Yearly"
"Security Measurement & Evaluation Survey-RIT","10/04/2013 11:39 AM","41 to 60","Male","Technology","Graduate (computer related)","Yes","1","1","1","1","0","0","Weekly","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","0","1","1","Yearly","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","Good","Yes, both","Weekly"
"Security Measurement & Evaluation Survey-RIT","10/04/2013 03:37 PM","41 to 60","Female","Other","High School","Yes","1","0","1","1","1","1","Never","Daily","Multiple Distinct Used","1","1","1","0","1","1","1","0","1","0","Yearly","Yes","Not Sure","No","No","No","Yes","Yes","Not Answered","Better","Yes, social media only","Weekly"
"Security Measurement & Evaluation Survey-RIT","10/05/2013 09:24 PM","41 to 60","Female","Other","Some College (non-computer related)","Yes","1","1","1","0","1","0","Never","Daily","Multiple Distinct Used","0","0","0","0","0","0","0","0","0","0","Not Answered","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Best","No","Montly"
"Security Measurement & Evaluation Survey-RIT","10/06/2013 11:08 AM","24 to 30","Female","Student","Graduate (computer related)","No","1","1","1","0","1","0","Monthly","Daily","Multiple Distinct Used","0","1","1","1","1","0","0","0","1","0","Yearly","No","Yes","Yes","Yes","Yes","Yes","Yes","Not Answered","Fair","No","Weekly"
"Security Measurement & Evaluation Survey-RIT","10/06/2013 11:56 PM","24 to 30","Female","Unemployed","Graduate (non-computer related)","No","1","1","0","0","0","0","Never","Daily","Multiple Distinct Used","0","0","1","0","0","1","0","1","0","0","Monthly","No","Yes","Yes","Yes","Yes","Yes","Not Sure","Yes","Good","No","Yearly"
